,NA1,USA gyu kata rosu,USA beef chuck eyeroll,USA牛肩ロース肉,Nạc vai bò Mỹ,,,,598000,,2,16,NULL,NULL,NULL
,NA2,USA gyu bara,USA beef short plate,USA牛ばら肉,Ba chỉ bò Mỹ,,,,588000,,2,16,NULL,NULL,NULL
,NA3,Japan wagyu,Japan wagyu sirloin,和牛サーロイン,Thăn ngoại bò wagyu Nhật,,,,2980000,,2,16,NULL,NULL,NULL
,,Sukiyaki,Suki yaki hotpot,すき焼き,Lẩu suki yaki,,,,,,2,16,NULL,NULL,NULL
,NA6,Shabu shabu,Wagyu shabu shabu hotpot,しゃぶしゃぶ,Lẩu bò wagyu shabu shabu,,,,3180000,,2,16,NULL,NULL,NULL
,NA17,Sake kabuto nabe,Salmon head hotpot with spicy broth,鮭のかぶと鍋,Lẩu đầu cá hồi với nước soup cay,,,,438000,,2,16,NULL,NULL,NULL
,NA18,Sake kabuto miso nabe,Salmon head hotpot with miso broth,鮭のかぶと味噌鍋,Lẩu đầu cá hồi với nước soup miso,,,,458000,,2,16,NULL,NULL,NULL
,,Niku nabe,House meat hotpot,肉鍋,Lẩu nạc vai bò và ba rọi heo,,,,,,2,16,NULL,NULL,NULL
,,Kaisen nabe,House seafood hotpot,海鮮鍋,Lẩu hải sản,,,,,,2,16,NULL,NULL,NULL
,,Yosenabe,House all-in-one hotpot,寄せ鍋,Lẩu thập cẩm,,,,,,2,16,NULL,NULL,NULL
,,Kaki Hotate nabe,,カキ鍋,lau con so,,,,,,2,16,NULL,NULL,NULL
