,SL1,Kamo goma sauce salad,Grilled duck breast salad with sesame sauce ,鴨胸肉のごまソースサラダ,Salad vịt nướng sốt mè,,,like,158000,,2,3,NULL,NULL,NULL
,SL2,Tako salad,Octopus salad with marinated cucumber,たこサラダ,Salad bạch tuộc với dưa leo chua ngọt,,,,98000,,2,3,NULL,NULL,NULL
,SL3,Tori Teriyaki Salad,Teriyaki chicken salad,照り焼きチキンサラダ,Salad thịt gà nướng sốt teriyaki,,,,108000,,2,3,NULL,NULL,NULL
,SL4,Umibudo,Sea grapes,海ぶどう,Nho biển,1,,,98000,,2,3,NULL,NULL,NULL
,SL5,Foie gras salad,Foie gras with green salad,フォアグラサラダ,Salad gan ngỗng,,,like,218000,,2,3,NULL,NULL,NULL
,SL6,Special sashimi salad,Special mixed sashimi salad,特製お刺身サラダ,Salad sashimi trộn thập cẩm,,,like,168000,,2,3,NULL,NULL,NULL
,SL7,Spicy ikura salad,Spicy ikura roe salad,スパイシーいくらサラダ,Salad trứng cá hồi cay,,,,158000,,2,3,NULL,NULL,NULL
,,Spicy Salmon Kaiware salad,,スパイシーサーモンとかいわれのサラダ,,,,,,,2,3,NULL,NULL,NULL
,SL8,Sake kaiware salad,Salmon sashimi salad with radish sprouts,サーモンとカイワレのサラダ,Salad cá hồi sống trộn cải mầm,,,,118000,,2,3,NULL,NULL,NULL
,SL9,Tobiko goma sauce salad,Seaweed & seasoned flying fish roe salad with mayo,とびこのサラダ,Salad rong biển và trứng cá chuồn,,,like,168000,,2,3,NULL,NULL,NULL
,SL10,Sake garlic sauce salad,Salmon salad with house garlic sauce,サーモンのガリックソースサラダ,Salad cá hồi sốt tỏi,,,,128000,,2,3,NULL,NULL,NULL
,SL11,House kaiware salad,Green salad & radish sprouts with house sauce,カイワレサラダ,Salad dầu cải mầm,1,,,88000,,2,3,NULL,NULL,NULL
,SL12,Sake kawa salad,Grilled salmon skin salad,鮭皮のサラダ,Salad da cá hồi nướng,,,,118000,,2,3,NULL,NULL,NULL
,SL13,Hotate himo goma sauce salad,Seasoned scallop mantle with cucumber salad & sesame sauce,ほたて貝ひものごまソースサラダ,Salad da sò điệp với dưa leo sợi sốt mè,,,,128000,,2,3,NULL,NULL,NULL
,SL14,Katsuo tataki salad,Skipjack tuna tataki salad,かつおのたたきサラダ,Salad cá ngừ bò tataki,,,,158000,,2,3,NULL,NULL,NULL
,SL15,Kaisen Carpaccio Salad,Seafood carpaccio salad with fruits sauce ,シーフードサラダ,Salad các loại sashimi cắt lát mỏng kèm sốt táo Nhật,,,,188000,,2,3,NULL,NULL,NULL
,SL16,Gyu tataki Salad,Beef Tenderloin tataki Salad,牛たたきサラダ,Salad thăn nội bò tataki,,,,188000,,2,3,NULL,NULL,NULL
