,R1,Salmon sake kawa,Salmon & fried salmon skin,サーモンと鮭皮,Cơm cuộn cá hồi và da cá hồi chiên,,,,128000,,2,8,NULL,NULL,NULL
,R2,Sake kawa,Fried salmon skin,鮭皮,Cơm cuộn da cá hồi chiên,,,,118000,,2,8,NULL,NULL,NULL
,R3,Tokusei sake,Sallmon all-in-one roll,特製サーモン,Cơm cuộn cá hồi thập cẩm,,,,138000,,2,8,NULL,NULL,NULL
,R4,Unagi cheese,Grilled Japanese eel & cheese,うなぎチーズ,Cơm cuộn lươn Nhật nướng phô mai,,,,248000,,2,8,NULL,NULL,NULL
,R5,Catapira,Sliced avocado & eel,カタピラ,Cơm cuộn lươn Nhật và bơ,,,,178000,,2,8,NULL,NULL,NULL
,R6,Unagi,Grilled Japanese eel ,うなぎ,Cơm cuộn lươn Nhật,,,,298000,,2,8,NULL,NULL,NULL
,R7,Rainbow roll,"Salmon, tuna & avocado with crunchy tempura",レインボーロール,"Cơm cuộn cá hồi, cá ngừ bơ và bột tem giòn",,,,168000,,2,8,NULL,NULL,NULL
,R8,Gyu avocado,Beef & avacado,牛とアボカド,Cơm cuộn bơ và thịt bò tái,,,,188000,,2,8,NULL,NULL,NULL
,R10,Ebi tempura,Deep fried shrimp,えび天,Cơm cuộn tôm chiên,,,,108000,,2,8,NULL,NULL,NULL
,R11,California ,Seasoned flying fish roe,カリフォルニアロール,Cơm cuộn trứng cá chuồn,,,,118000,,2,8,NULL,NULL,NULL
,R12,Ebi avocado tamago,Shrimp with avocado and egg ,えびとアボカドとたまご,"Cơm cuộn tôm, bơ, trứng",,,,168000,,2,8,NULL,NULL,NULL
,R14,Foie gras sake,Foie gras with salmon & avocado,フォアグラとサーモン,Cơm cuộn cá hồi và gan ngỗng,,,,288000,,2,8,NULL,NULL,NULL
,R15,Foie gras tobiko,Foie gras with avocado & flying fish roe,フォアグラととびことたまご,"Cơm ép gan ngỗng, bơ và trứng cá chuồn",,,,288000,,2,8,NULL,NULL,NULL
,R16,Unagi avocado,Grilled sea eel with avocado,うなぎとアボカド,"Cơm ép với lươn Nhật nướng, bơ và bột tem",,,,298000,,2,8,NULL,NULL,NULL
,R18,Spider,Soft-shell crab with flying fish roe,スパイダーロール,Cơm cuộn cua lột và trứng cá chuồn,,,,168000,,2,8,NULL,NULL,NULL
,R20,Sake maguro,"Salmon, Tuna & avocado ",鮭とまぐろとアボカド,"Cơm cuộn cá hồi, cá ngừ và bơ",,,,168000,,2,8,NULL,NULL,NULL
,R21,Crunchy ikura sake,"Salmon, Avacado, Crunchy tempura & salmon roe",いくらと鮭,"Cơm cuộn cá hồi, bơ và bột tem giòn và trứng cá hồi",,,,198000,,2,8,NULL,NULL,NULL
